title,genre,actors,view rating,release date,summary,score,votes,
Toko Barang Mantan,"Comedy, Drama, Romance","Iedil Dzuhrie Alaudin, Dea Panendra, Reza Rahadian, Marsha Timothy",,20 Feb 2020,A pawnshop owner who buys and sells mementos of broken relationships must deal with old wounds when his ex-girlfriend becomes his newest customer.,5.8,120,
Ananta,"Comedy, Drama, Romance","Nino Fernandez, Michelle Ziudith, Fero Walandouw, Jihane Almira",,03 May 2018,An antisocial teen who acts out develops an invigorating relationship with a new student who has befriended her with a benevolent ulterior motive.,7.8,66,
3 Dara 2,"Comedy, Drama, Fantasy","Cut Mini Theo, Tanta Ginting, Tora Sudiro, Adipati Dolken",,25 Oct 2018,"After a business catastrophe, three friends must live together and serve as homemakers while their wives go back to work to rebuild their finances.",6.9,26,
99 Nama Cinta,"Drama, Romance","Acha Septriasa, Deva Mahenra, Donny Damara, Ira Wibowo",TV-G,14 Nov 2019,"As an infotainment producer deals with a work crisis, a childhood friend, whoâ€™s now a cleric, arrives to honor a religious request from her late father.",8,28,
Luccas Neto em: O Hotel Magico,Family,Luccas Neto,,,"When Luccas and Gi stay at a luxury hotel for the launch of their toy line, naughty elves from the North Pole try to ruin their plans.",,,
Stars in the Sky: A Hunting Story,Documentary,"Steven Rinella, Buck Bowden, Greg Blascovich, Robert Abernathy",,07 Aug 2020,"This documentary follows a group of hunters as they grapple with the complexities, controversies, and contradictions of pursuing animals in the wild.",7.3,210,
Diamonds in the Sky,Drama,"Abhishek Bhattacharya, Anamitra Roy, Yovik, Avishek Thakur",,15 Aug 2014,Three families navigate uncertainty and struggle when cancer affects their lives and presents emotional challenges that test their bonds.,6.1,10,
Nasha Natasha,"Documentary, Biography, Music","Natalia Oreiro, Ricardo Mollo, Carlos Oreiro, Merlín Atahualpa Mollo Oreiro",,06 Aug 2020,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.,6.5,255,
Once Before,Drama,"Tony Labrusca, Marco Gumabao, Candy Pangilinan, Lovi Poe",,04 Mar 2020,"After a tragic car crash, Gabby finds herself in a love triangle with the ghost of her fiancé and a friend seeking more than a platonic relationship.",5.9,81,
Doctor Sleep,"Drama, Fantasy, Horror, Thriller","Kyliegh Curran, Ewan McGregor, Rebecca Ferguson, Cliff Curtis",R,08 Nov 2019,"In this sequel to ""The Shining,"" Danny, now a traumatized adult, is sought out by a young psychic as evil beings that feed on their powers close in.",7.3,144369,
The Last Shot,"Comedy, Romance","Alec Baldwin, Matthew Broderick, Tony Shalhoub, Toni Collette",R,05 Nov 2004,"When a forgotten director gets the chance to make his historical film, creative visions clash when the producer considers turning it into erotica.",5.6,4110,
Convict,"Action, Crime, Drama","Richard Green, Brian Ellison, George Basha, David Field",Not Rated,21 Jan 2014,"After a prison leader grants an interview before his release, a reporter investigates the course of events that led to this inmates untimely death.",5.3,1336,
Intimate Lighting,"Comedy, Drama, Music","Miroslav Cvrk, Karel Blazek, Zdenek Bezusek, Vera Kresadlová",TV-PG,24 Nov 1969,"A small-town music teacher is visited by an old friend who is a professional musician, setting in motion events that are both reflective and amusing.",7.3,1316,
If a Thousand Clarinets,"Comedy, Fantasy, Musical","Jana Brejchová, Hana Hegerová, Eva Pilarová, Waldemar Matuska",,29 Jan 1965,"After a soldier deserts his enlistment and hides out in a school, the guns of those chasing him start mysteriously morphing into musical instruments.",7,208,
Anelka: Misunderstood,"Documentary, Sport","Fabrice Abriel, Barbara Anelka, Roman Abramovich, Samir Amireche",TV-14,05 Aug 2020,"Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary.",6.4,2528,
Worlds Most Wanted,"Action, Adventure, Horror, Sci-Fi","Brad Pitt, Daniella Kertesz, Mireille Enos, James Badge Dale",PG-13,21 Jun 2013,"Suspected of heinous crimes, they’ve avoided capture despite massive rewards and global investigations. A docuseries profiling the world’s most wanted.",7,602843,
Ayamma,Musical,"Majid Michel, Theresa Edem, Wale Ojo, Adesua Etomi-Wellington",,23 Dec 2016,"An engaged prince dreams of a beautiful, singing maiden and is then shocked to come across a woman who looks and sounds exactly like her.",6.7,9,
Sin City,"Crime, Thriller","Jessica Alba, Devon Aoki, Powers Boothe, Alexis Bledel",R,01 Apr 2005,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.,8,739118,
Malibu Rescue: The Next Wave,"Action, Adventure, Comedy, Family","Curtis Armstrong, Tricia O'Kelley, Jeremy Howard, Breanna Yde",,04 Aug 2020,"As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition.",4.6,557,
Sam Jay: 3 In The Morning,Comedy,Sam Jay,TV-MA,04 Aug 2020,"Comedian and ""Saturday Night Live"" writer Sam Jay serves up fresh takes on relationships, travel nightmares, the audacity of white people and more.",6.2,360,
Mystery Lab,"Documentary, Animation, Comedy, Family, Mystery","Felipe Castanhari, Lilian Regina, Guilherme Briggs, Bruno Miranda",TV-PG,04 Aug 2020,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",7.6,536,
The Peanut Butter Falcon,"Adventure, Comedy, Drama","Ann Owens, Bruce Dern, Dakota Johnson, Zack Gottsagen",PG-13,23 Aug 2019,A man who has Down syndrome runs away to realize his wrestling dreams and sets out for adventure with a new friend in tow and a caregiver in pursuit.,7.6,67536,
Can You Keep a Secret?,"Comedy, Romance","Tyler Hoechlin, David Ebert, Sunita Mani, Alexandra Daddario",Not Rated,13 Sep 2019,"After sharing a heart-to-heart with a handsome stranger, Emma comes face-to-face with old vulnerabilities, new romance and, most importantly, herself.",5.3,11164,
Almost Love,"Comedy, Drama, Romance","Scott Evans, Augustus Prew, Colin Donnell, Michelle Buteau",Not Rated,02 Aug 2020,A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.,5.6,772,
Grave,"Animation, Drama, War","Akemi Yamaguchi, Yoshiko Shinohara, Ayano Shiraishi, Tsutomu Tatsumi",Not Rated,26 Jul 1989,"After enduring harsh hazing rituals at veterinary school, a young woman begins to develop a taste for human flesh.",8.5,237321,
Good Luck Algeria,"Comedy, Sport","Franck Gastambide, Hélène Vincent, Chiara Mastroianni, Sami Bouajila",,30 Mar 2016,"To save their failing business, two childhood friends face a series of hurdles as they work to qualify for the Winter Olympics. Based on a true story.",5.9,261,
Rover Dangerfield,"Animation, Comedy, Family","Susan Boyd, Ronnie Schell, Rodney Dangerfield, Ned Luke",G,02 Aug 1991,A dog who inhabits the glitz and glamour of Las Vegas gets into big trouble and suddenly finds himself living a much quieter life on a country farm.,6,2868,
15 Minutes,"Action, Crime, Drama, Thriller","Edward Burns, Kelsey Grammer, Avery Brooks, Robert De Niro",R,09 Mar 2001,A homicide detective and an arson investigator pursue a pair of ruthless killers who film their violent crimes in the hopes of achieving notoriety.,6.1,48497,
Immigration Nation,Documentary,,TV-MA,03 Aug 2020,"With unprecedented access to ICE operations, as well as moving portraits of immigrants, this docuseries takes a deep look at US immigration today.",7.5,922,
Skam France,"Drama, Romance","Axel Auriant, Philippine Stindel, Coline Preher, Lula Cotton-Frapier",,09 Feb 2018,Teens carve their own paths to self-discovery while navigating the highs and lows of love and friendship in this remake of the popular Norwegian series.,8.3,1990,
Three Kingdoms,"Action, Drama, History, War","Cunxin Pu, Andy Lau, Sammo Kam-Bo Hung, Maggie Q",R,03 Apr 2008,"During the late Eastern Han Dynasty, power, intrigue and military ambition collide as rulers, generals and court officials vie for dominance.",6.2,6097,
Man of Men,"Action, Comedy, Drama","Hitomi Nakahara, Satomi Oka, Eitarô Shindô, Kinnosuke Nakamura",,29 Nov 1959,A lowlife gangster and a terminally ill lawyer put aside differences to capitalize on each others interests in a race against time — and for money.,,,
Legend of Yun Xi,"Fantasy, Romance",Kei Gambit,,25 Jun 2018,"Amid tensions between three kingdoms, an ostracized doctor marries into a royal family and becomes mired in palace politics.",8.2,82,
Money,"Crime, Mystery, Thriller","Jess Weixler, Kellan Lutz, Jesse Williams, Jamie Bamber",R,27 Jun 2017,"A fledgling stockbroker with dreams of getting rich despite being bad at his job accepts a shady proposal, catching the eye of a dogged investigator.",5.5,2564,
The Battle: Roar to Victory,"Action, Drama, History, War","Jun-Yeol Ryu, Hae-Jin Yoo, Kazuki Kitamura, Woo-jin Jo",TV-MA,16 Aug 2019,Villagers put down shovels and pick up shotguns in the first victorious battle for Korean independence fighters in 1920. Based on a true story.,6,491,
Connected,"Action, Adventure, Crime, Mystery, Thriller","Louis Koo, Ye Liu, Barbie Hsu, Nick Cheung",Not Rated,25 Sep 2008,"Science journalist Latif Nasser investigates the surprising and intricate ways in which we are connected to each other, the world and the universe.",6.6,1961,
The Travelling Cat Chronicles,Drama,"Sôta Fukushi, Nana, Mitsuki Takahata, Alice Hirose",,26 Oct 2018,"With his beloved pet cat, Satoru heads out on a bittersweet road trip, visiting old friends and family to find his furry companion a new forever home.",6.9,384,
Mazinger Z: Infinity,"Animation, Action, Sci-Fi","Shôtarô Morikubo, Toshihiko Seki, Sumire Uesaka, Ai Kayano",TV-14,11 Feb 2018,"A decade after his presumed defeat, Dr. Hell unleashes a new attack on Earth, forcing retired pilot Koji and his super robot into another epic battle.",5.9,1703,
Her Love Boils Bathwater,Drama,"Yukiko Shinohara, Hana Sugisaki, Rie Miyazawa, Aoi Itô",,29 Oct 2016,"After learning sheâ€™s dying, a tough single mom wastes no time tracking down her ex, reviving her bathhouse and, most importantly, empowering her daughter.",7.5,1524,
Love and Honor,"Drama, Romance, War","Teresa Palmer, Liam Hemsworth, Aimee Teegarden, Austin Stowell",PG-13,22 Mar 2013,"Young samurai Shinnojo dreams of opening a martial arts school, but the loss of his sight puts him and his wife in a financially precarious position.",5.7,8919,
Knives Out,"Comedy, Crime, Drama, Mystery, Thriller","Daniel Craig, Ana de Armas, Chris Evans, Jamie Lee Curtis",PG-13,27 Nov 2019,"A detective unravels the tangled web of secrets and lies surrounding the death of a successful crime novelist and his unsettling, eccentric family.",7.9,459839,
You Are the Apple of My Eye,"Comedy, Drama, Romance","Owodog, Shao-Wen Hao, Kai Ko, Michelle Chen",,19 Aug 2011,"Ten years later, aspiring writer Kosuke recalls his time as a goofy high school student who develops a crush on his serious classmate Mana.",7.6,9300,
"I Do, I Do","Comedy, Fantasy, Romance","Christine Willes, Ali Liebert, Autumn Reeser, Shawn Roberts",TV-G,06 Feb 2015,"Citing a difference in status, a career-focused woman breaks up with her beau, inspiring the lovesick man to find a way to prove himself worthy.",6.2,1788,
I Not Stupid,"Drama, Comedy","Richard Low, Selena Tan, Jack Neo, Yun Xiang",PG,09 Feb 2002,"Three boys in Singapore, deemed lost causes by their teachers, embark on a grueling quest to improve their school grades in a cutthroat environment.",7.1,1080,
Homerun,"Drama, Family","Wenyong Huang, Megan Zheng, Shawn Lee, Yun Xiang",,07 Aug 2003,"After losing his sisters only pair of shoes, a boy must share his pair with her and soon joins a running race where the prize is a new pair of shoes.",6.5,350,
I Not Stupid Too,"Comedy, Drama, Family","Joshua Ang, Shawn Lee, Ashley Leong, Yiliang Huang",PG-13,26 Jan 2006,Two brothers and a friend wrestle with academic pressure at school and strained relations with parents at home.,6.8,571,
Be with Me,"Drama, Romance","Theresa Poh Lin Chan, Leong Kooi Eng, Chiew Sung Ching, Lawrence Yong",Not Rated,08 Sep 2005,"With minimalist flair, this poetic film weaves together three stories of human connection in which the protagonists share a common longing for love.",7,1631,
King of Mahjong,Comedy,"Bao-Quan Chong, Richard Low, Cheronna Ng, Mark Lee",,19 Feb 2015,"Goaded by an old mahjong nemesis, now an insufferable and ruthless world champion, a shop owner considers a return to the table to settle the score.",5.2,77,
Banting,"Action, Drama, Sport","Abigail Chay, Adlina Adil, Mastura Ahmad, Ashley Chan",TV-PG,02 Nov 2014,A young hijab-wearing woman defies tradition and her strict Muslim mother to pursue her dream of becoming a professional wrestler.,5.4,19,
The Best Bet,"Comedy, Drama","Li Ping Chen, Richard Low, Christopher Ming-Shun Lee, Mark Lee",PG-13,09 Jun 2004,"After hitting the jackpot , three friends and gambling addicts scramble to outwit each other in zany schemes that jeopardize their friendship.",6.2,100,
Meeting the Giant,Drama,Yanmanzi Zhu,,22 Jun 2014,"While following their dreams, a squad of Chinese basketball players navigate the challenges of life in Singapore on and off the court.",,,
Abandoned,"Drama, Mystery, Thriller","Peter Bogdanovich, Dean Cain, Mimi Rogers, Brittany Murphy",PG-13,24 Aug 2010,"After being placed in an orphanage, a young girl meets a group of children who cast away remnants of their pasts as she dreams of finding her mother.",5.1,5636,
Rubbers,"Comedy, Romance","Marcus Chin, Alaric, Chau Min Lee, Julian Hee",,30 Apr 2015,The stories of three people looking for love and physical connection are interwoven in playfully raunchy tales revolving around condoms.,5.6,44,
Singapore Dreaming,Drama,"Richard Low, Serene Chen, ZioZio Lim, Yann Yann Yeo",Not Rated,07 Sep 2006,An indebted family man wins the lottery — a mixed blessing that soon reveals the cracks in family relations and the very fabric of society.,6.9,284,
Perfect Rivals,Comedy,"Alaric, Irene Ang, Pamelyn Chee, Crispian Chan",,17 Mar 2011,Two feuding bak kwa shop owners — formerly lovers — prepare to roast each other in a competition that embroils their respective families.,5.2,14,
